res_no,url_record
225,https://digitallibrary.un.org/record/90506
226,https://digitallibrary.un.org/record/112437
227,https://digitallibrary.un.org/record/90508
228,https://digitallibrary.un.org/record/90503
229,https://digitallibrary.un.org/record/90710
230,https://digitallibrary.un.org/record/90507
231,https://digitallibrary.un.org/record/90500
232,https://digitallibrary.un.org/record/90502
233,https://digitallibrary.un.org/record/90711
234,https://digitallibrary.un.org/record/90712
235,https://digitallibrary.un.org/record/90713
236,https://digitallibrary.un.org/record/90714
237,https://digitallibrary.un.org/record/90715
238,https://digitallibrary.un.org/record/90718
239,https://digitallibrary.un.org/record/112438
240,https://digitallibrary.un.org/record/90716
241,https://digitallibrary.un.org/record/112439
242,https://digitallibrary.un.org/record/90717
243,https://digitallibrary.un.org/record/90744
244,https://digitallibrary.un.org/record/90814
245,https://digitallibrary.un.org/record/90745
246,https://digitallibrary.un.org/record/90746
247,https://digitallibrary.un.org/record/90747
248,https://digitallibrary.un.org/record/90751
249,https://digitallibrary.un.org/record/90760
250,https://digitallibrary.un.org/record/90752
251,https://digitallibrary.un.org/record/90753
252,https://digitallibrary.un.org/record/90754
253,https://digitallibrary.un.org/record/90750
254,https://digitallibrary.un.org/record/90748
255,https://digitallibrary.un.org/record/90759
256,https://digitallibrary.un.org/record/90755
257,https://digitallibrary.un.org/record/90761
258,https://digitallibrary.un.org/record/90756
259,https://digitallibrary.un.org/record/90757
260,https://digitallibrary.un.org/record/90762
261,https://digitallibrary.un.org/record/90749
262,https://digitallibrary.un.org/record/90758
263,https://digitallibrary.un.org/record/90774
264,https://digitallibrary.un.org/record/90763
265,https://digitallibrary.un.org/record/90765
266,https://digitallibrary.un.org/record/90769
267,https://digitallibrary.un.org/record/90766
268,https://digitallibrary.un.org/record/90771
269,https://digitallibrary.un.org/record/90764
270,https://digitallibrary.un.org/record/90767
271,https://digitallibrary.un.org/record/90768
272,https://digitallibrary.un.org/record/90775
273,https://digitallibrary.un.org/record/90772
274,https://digitallibrary.un.org/record/90770
275,https://digitallibrary.un.org/record/90773
276,https://digitallibrary.un.org/record/90776
277,https://digitallibrary.un.org/record/90779
278,https://digitallibrary.un.org/record/112440
279,https://digitallibrary.un.org/record/90781
280,https://digitallibrary.un.org/record/90782
281,https://digitallibrary.un.org/record/90784
282,https://digitallibrary.un.org/record/90786
283,https://digitallibrary.un.org/record/90777
284,https://digitallibrary.un.org/record/90778
285,https://digitallibrary.un.org/record/90783
286,https://digitallibrary.un.org/record/90790
287,https://digitallibrary.un.org/record/90789
288,https://digitallibrary.un.org/record/90780
289,https://digitallibrary.un.org/record/90787
290,https://digitallibrary.un.org/record/90788
291,https://digitallibrary.un.org/record/90785
292,https://digitallibrary.un.org/record/90800
293,https://digitallibrary.un.org/record/90791
294,https://digitallibrary.un.org/record/90815
295,https://digitallibrary.un.org/record/90794
296,https://digitallibrary.un.org/record/90801
297,https://digitallibrary.un.org/record/90816
298,https://digitallibrary.un.org/record/90795
299,https://digitallibrary.un.org/record/90817
300,https://digitallibrary.un.org/record/90797
301,https://digitallibrary.un.org/record/90796
302,https://digitallibrary.un.org/record/90793
303,https://digitallibrary.un.org/record/90798
304,https://digitallibrary.un.org/record/90818
305,https://digitallibrary.un.org/record/90792
306,https://digitallibrary.un.org/record/90819
307,https://digitallibrary.un.org/record/90799
308,https://digitallibrary.un.org/record/90820
309,https://digitallibrary.un.org/record/90821
310,https://digitallibrary.un.org/record/90822
311,https://digitallibrary.un.org/record/93439
312,https://digitallibrary.un.org/record/93440
313,https://digitallibrary.un.org/record/93442
314,https://digitallibrary.un.org/record/90825
315,https://digitallibrary.un.org/record/93445
316,https://digitallibrary.un.org/record/93443
317,https://digitallibrary.un.org/record/93444
318,https://digitallibrary.un.org/record/93437
319,https://digitallibrary.un.org/record/90823
320,https://digitallibrary.un.org/record/93438
321,https://digitallibrary.un.org/record/93447
322,https://digitallibrary.un.org/record/93441
323,https://digitallibrary.un.org/record/90824
324,https://digitallibrary.un.org/record/93446
325,https://digitallibrary.un.org/record/93449
326,https://digitallibrary.un.org/record/93494
327,https://digitallibrary.un.org/record/93462
328,https://digitallibrary.un.org/record/93463
329,https://digitallibrary.un.org/record/93464
330,https://digitallibrary.un.org/record/93493
331,https://digitallibrary.un.org/record/93491
332,https://digitallibrary.un.org/record/93492
333,https://digitallibrary.un.org/record/93496
334,https://digitallibrary.un.org/record/93497
335,https://digitallibrary.un.org/record/93499
336,https://digitallibrary.un.org/record/93500
337,https://digitallibrary.un.org/record/93465
338,https://digitallibrary.un.org/record/93466
339,https://digitallibrary.un.org/record/93467
340,https://digitallibrary.un.org/record/93468
341,https://digitallibrary.un.org/record/93469
342,https://digitallibrary.un.org/record/93448
343,https://digitallibrary.un.org/record/93498
344,https://digitallibrary.un.org/record/93495
345,https://digitallibrary.un.org/record/93481
346,https://digitallibrary.un.org/record/93702
347,https://digitallibrary.un.org/record/93703
348,https://digitallibrary.un.org/record/93501
349,https://digitallibrary.un.org/record/93707
350,https://digitallibrary.un.org/record/93704
351,https://digitallibrary.un.org/record/93482
352,https://digitallibrary.un.org/record/93483
353,https://digitallibrary.un.org/record/93470
354,https://digitallibrary.un.org/record/93471
